stage,L,Nv,q,W,alpha,bc,placement,n_real,seed_base,n_spacings,D_pooled,p_pooled,D_min,D_med,D_max,mean_abs_dR2,d_GUE,d_Pois,r_mean,D_excess,ks_pass,r2_pass,gue_closer,stab_pass,composite_ok,runtime_s
A,24,4,1.0,0.0,0.5,open,protocol,3,96,1029,0.101423,1.66804e-09,0.0940428,0.098229,0.118659,0.127853,0.126189,0.198968,0.575887,0.0689734,False,False,True,True,False,0.209831
A,24,4,1.0,0.5,0.5,open,protocol,3,96,1029,0.0810455,3.19101e-06,0.0736789,0.0909586,0.110806,0.122916,0.119115,0.201426,0.594014,0.0485955,True,False,True,True,False,0.206253
A,24,4,1.0,1.0,0.5,open,protocol,3,96,1029,0.0866181,4.77882e-07,0.0728608,0.09954,0.10338,0.124707,0.118983,0.194543,0.5797,0.0541681,True,False,True,True,False,0.20784
A,24,6,0.2,0.0,0.5,open,protocol,3,96,1029,0.485162,3.61032e-208,0.476513,0.486478,0.504469,0.329571,0.325713,0.240998,0.388606,0.452712,False,False,False,True,False,0.23104
A,24,6,0.2,0.5,0.5,open,protocol,3,96,1029,0.417254,4.3972e-154,0.409392,0.42175,0.439031,0.244558,0.240381,0.168735,0.410372,0.384804,False,False,False,True,False,0.210608
A,24,6,0.2,1.0,0.5,open,protocol,3,96,1029,0.383989,1.46933e-130,0.33637,0.403507,0.431601,0.220419,0.21828,0.145877,0.423999,0.351539,False,False,False,True,False,0.225718
A,24,6,0.3,0.0,0.5,open,protocol,3,96,1029,0.331967,1.0939e-97,0.339778,0.341685,0.343779,0.222678,0.218096,0.170948,0.449017,0.299517,False,False,False,True,False,0.206931
A,24,6,0.3,0.5,0.5,open,protocol,3,96,1029,0.303306,1.28497e-81,0.281966,0.314662,0.317811,0.208309,0.205259,0.17316,0.477727,0.270856,False,False,False,True,False,0.208076
A,24,6,0.3,1.0,0.5,open,protocol,3,96,1029,0.252411,1.17689e-56,0.252311,0.254005,0.266564,0.182957,0.18033,0.167261,0.50143,0.219961,False,False,False,True,False,0.255964
A,24,6,0.5,0.0,0.5,open,protocol,3,96,1029,0.188742,7.25135e-32,0.157361,0.201975,0.226429,0.1563,0.149829,0.185695,0.543548,0.156292,False,False,True,True,False,0.209775
A,24,6,0.5,0.5,0.5,open,protocol,3,96,1029,0.142575,2.29258e-18,0.140969,0.141806,0.159241,0.142303,0.132164,0.183729,0.563931,0.110125,False,False,True,True,False,0.205816
A,24,6,0.5,1.0,0.5,open,protocol,3,96,1029,0.121563,1.81372e-13,0.114034,0.13031,0.134474,0.126164,0.118425,0.173405,0.566149,0.0891135,False,False,True,True,False,0.205862
A,24,6,0.7,0.0,0.5,open,protocol,3,96,1029,0.111321,2.31131e-11,0.100774,0.105881,0.141447,0.122423,0.120114,0.19184,0.579258,0.0788707,False,False,True,True,False,0.20628
A,24,6,0.7,0.5,0.5,open,protocol,3,96,1029,0.0775887,9.72541e-06,0.0698312,0.0861594,0.102446,0.126019,0.117065,0.193069,0.597598,0.0451387,True,False,True,True,False,0.208344
A,24,6,0.7,1.0,0.5,open,protocol,3,96,1029,0.0823648,2.05897e-06,0.080191,0.081475,0.103745,0.0978752,0.0929654,0.172668,0.593312,0.0499148,True,True,True,True,True,0.209458
A,24,6,1.0,0.0,0.5,open,protocol,3,96,1029,0.0614072,0.000939644,0.0671725,0.0882736,0.0896118,0.12806,0.12151,0.213715,0.58371,0.0289572,True,False,True,True,False,0.199317
A,24,6,1.0,0.5,0.5,open,protocol,3,96,1029,0.0509979,0.0101306,0.0368353,0.0547896,0.0810852,0.10357,0.0984324,0.190857,0.59305,0.0185479,True,False,True,True,False,0.1999
A,24,6,1.0,1.0,0.5,open,protocol,3,96,1029,0.0465891,0.0242861,0.0452029,0.0566403,0.0646532,0.1153,0.108339,0.206096,0.607413,0.0141391,True,False,True,True,False,0.202399
A,24,8,0.2,0.0,0.5,open,protocol,3,96,1029,0.43101,2.2124e-164,0.418202,0.429467,0.464662,0.290116,0.285459,0.202655,0.399641,0.39856,False,False,False,True,False,0.210004
A,24,8,0.2,0.5,0.5,open,protocol,3,96,1029,0.385889,7.51635e-132,0.37666,0.377789,0.411516,0.217801,0.212715,0.157429,0.454641,0.353439,False,False,False,True,False,0.208686
A,24,8,0.2,1.0,0.5,open,protocol,3,96,1029,0.346249,3.09093e-106,0.327316,0.347209,0.385123,0.208311,0.199416,0.144648,0.463767,0.313799,False,False,False,True,False,0.227417
A,24,8,0.3,0.0,0.5,open,protocol,3,96,1029,0.293365,2.20511e-76,0.279241,0.290089,0.33321,0.207174,0.199483,0.167506,0.464107,0.260915,False,False,False,True,False,0.217242
A,24,8,0.3,0.5,0.5,open,protocol,3,96,1029,0.239745,3.73728e-51,0.203459,0.253796,0.273349,0.17513,0.168653,0.158904,0.502132,0.207295,False,False,False,True,False,0.208338
A,24,8,0.3,1.0,0.5,open,protocol,3,96,1029,0.199187,1.92499e-35,0.136522,0.205482,0.261371,0.151233,0.147362,0.164557,0.54464,0.166737,False,False,True,False,False,0.203209
A,24,8,0.5,0.0,0.5,open,protocol,3,96,1029,0.128905,4.32214e-15,0.129483,0.130957,0.195677,0.12805,0.127134,0.177338,0.542374,0.0964549,False,False,True,True,False,0.208317
A,24,8,0.5,0.5,0.5,open,protocol,3,96,1029,0.108146,9.5237e-11,0.10124,0.116485,0.13147,0.127923,0.125302,0.188399,0.559219,0.0756959,False,False,True,True,False,0.206914
A,24,8,0.5,1.0,0.5,open,protocol,3,96,1029,0.0789333,6.34098e-06,0.0449319,0.108834,0.126081,0.11528,0.107895,0.183483,0.594203,0.0464833,True,False,True,True,False,0.205443
A,24,8,0.7,0.0,0.5,open,protocol,3,96,1029,0.0877815,3.16408e-07,0.0770815,0.0948173,0.126075,0.121145,0.115184,0.197493,0.57325,0.0553315,True,False,True,True,False,0.211026
A,24,8,0.7,0.5,0.5,open,protocol,3,96,1029,0.059369,0.00154963,0.0545099,0.0631227,0.0792753,0.0982689,0.0938797,0.181517,0.598237,0.026919,True,True,True,True,True,0.286527
A,24,8,0.7,1.0,0.5,open,protocol,3,96,1029,0.0409389,0.0663462,0.0403142,0.0476885,0.0677788,0.0946747,0.0926603,0.192331,0.608317,0.00848894,True,True,True,True,True,0.251674
A,24,8,1.0,0.0,0.5,open,protocol,3,96,1029,0.0621115,0.000787382,0.0663929,0.0811108,0.105843,0.126374,0.123565,0.217648,0.612147,0.0296615,True,False,True,True,False,0.20297
A,24,8,1.0,0.5,0.5,open,protocol,3,96,1029,0.0431178,0.0457286,0.0448696,0.0550002,0.0638529,0.102034,0.0978151,0.195281,0.603198,0.0106678,True,False,True,True,False,0.209365
A,24,8,1.0,1.0,0.5,open,protocol,3,96,1029,0.0651528,0.00035858,0.0655728,0.0791826,0.07973,0.106815,0.102117,0.192331,0.585114,0.0327028,True,False,True,True,False,0.20989
A,24,12,0.2,0.0,0.5,open,protocol,3,96,1029,0.359495,1.73607e-114,0.364966,0.368777,0.38132,0.23028,0.222177,0.178813,0.460429,0.327045,False,False,False,True,False,0.205949
A,24,12,0.2,0.5,0.5,open,protocol,3,96,1029,0.267088,2.19394e-63,0.252588,0.27875,0.27921,0.176794,0.17634,0.154971,0.48263,0.234638,False,False,False,True,False,0.19896
A,24,12,0.2,1.0,0.5,open,protocol,3,96,1029,0.211791,5.15887e-40,0.175522,0.221926,0.256091,0.143778,0.140333,0.14686,0.508831,0.179341,False,False,True,True,False,0.197016
A,24,12,0.3,0.0,0.5,open,protocol,3,96,1029,0.200401,7.18161e-36,0.190959,0.214414,0.230106,0.177563,0.16976,0.183237,0.509026,0.167951,False,False,True,True,False,0.201276
A,24,12,0.3,0.5,0.5,open,protocol,3,96,1029,0.141922,3.34382e-18,0.13688,0.153768,0.170105,0.141929,0.137481,0.182254,0.55521,0.109472,False,False,True,True,False,0.211636
A,24,12,0.3,1.0,0.5,open,protocol,3,96,1029,0.107637,1.19053e-10,0.108112,0.111705,0.116225,0.126573,0.118378,0.178813,0.574434,0.0751869,False,False,True,True,False,0.209471
A,24,12,0.5,0.0,0.5,open,protocol,3,96,1029,0.0966213,1.1523e-08,0.088387,0.129396,0.131977,0.128488,0.130514,0.197001,0.574697,0.0641713,True,False,True,True,False,0.205075
A,24,12,0.5,0.5,0.5,open,protocol,3,96,1029,0.0635428,0.000546334,0.0553588,0.0723873,0.0955042,0.109595,0.102564,0.190857,0.578408,0.0310928,True,False,True,True,False,0.207804
A,24,12,0.5,1.0,0.5,open,protocol,3,96,1029,0.0788409,6.53158e-06,0.0698101,0.0821871,0.0962829,0.116506,0.108121,0.197001,0.58059,0.0463909,True,False,True,True,False,0.210828
A,24,12,0.7,0.0,0.5,open,protocol,3,96,1029,0.0650227,0.000371137,0.0605122,0.0811272,0.10002,0.135911,0.129469,0.22158,0.582178,0.0325727,True,False,True,True,False,0.225356
A,24,12,0.7,0.5,0.5,open,protocol,3,96,1029,0.0572752,0.0025455,0.0562995,0.0695027,0.0782716,0.105541,0.100453,0.193314,0.610443,0.0248252,True,False,True,True,False,0.209655
A,24,12,0.7,1.0,0.5,open,protocol,3,96,1029,0.0414247,0.061166,0.0402491,0.0474416,0.0643423,0.110617,0.108038,0.206833,0.60078,0.00897468,True,False,True,True,False,0.206102
