s_AB,s_zeta
1.31039570,0.53572067
1.85012266,1.46695492
1.52119993,0.83051353
0.43239018,0.86832074
1.00585827,0.39058397
1.62036480,1.51066456
0.30853858,1.28830550
0.94255790,1.16618391
0.52058306,0.80218607
1.17640596,0.48545523
1.62074856,1.35563842
1.57171265,1.06724004
1.03388032,0.62345844
1.69298476,1.18175911
0.70647626,1.41285326
0.53333145,1.03277199
1.15394127,0.64621317
1.12042388,0.96255941
0.75495229,0.90289534
0.83430994,0.67110239
2.16297349,2.01561043
0.30491394,0.48574216
1.23144040,0.98201844
0.80774713,1.03887840
0.74295826,1.18825971
0.09450261,0.50736033
1.07892280,1.19253158
1.35629790,0.71387191
0.38119690,1.70337305
1.60405638,0.91395863
1.76711947,1.14305533
0.98749704,0.25011306
0.67658729,1.01187500
1.28223125,1.44145420
0.74268874,0.70427690
1.85681669,1.35417349
0.79341151,1.12040849
0.88517627,0.55930725
0.43942740,1.47636600
0.72066052,0.66758695
0.72640961,0.72368571
0.82548200,0.83589067
1.60942912,1.76940682
0.72314957,1.21121910
1.42090098,0.30833058
0.59399404,1.19248382
1.22978470,0.84553276
1.09070133,1.01022299
0.43766907,1.01429236
0.97441904,1.19434292
1.81244444,0.75873301
0.58975300,1.69615846
1.59305997,0.55197884
0.71450281,0.72372775
0.69830480,1.12722431
1.12161054,0.59326220
0.33286985,1.48572987
1.44831454,1.45562983
0.43045116,0.57121339
1.53539959,0.89070240
0.34034672,0.94777875
0.69330063,1.29655556
2.09052140,0.75920481
0.20456417,0.50334790
0.99798481,1.80036727
1.83141216,0.99147763
1.61447042,0.92653924
1.52132983,1.09113858
0.29111237,0.39151190
0.28123237,0.95903536
1.52090729,1.45166177
1.04286816,1.05363209
1.14457018,1.06117596
0.45423473,0.77775941
1.78640201,1.25721028
0.43569687,0.85144488
1.23576028,0.69714423
0.35582750,1.13637774
0.73725451,0.70139174
1.66553459,1.99025579
1.71642866,0.63769434
1.11295349,0.81716306
0.09394033,0.61702538
1.68535933,1.48826112
1.05091494,0.52465402
0.65512549,1.31961614
0.45548813,1.10921358
0.81690503,0.97646685
1.17649111,1.08435707
0.31700152,1.05847080
0.54930826,0.81418940
1.00576369,0.50791316
0.86607318,1.08667434
0.75715267,1.92978622
0.60908930,0.35859607
1.60607197,1.42727998
1.33369589,0.53646099
2.19564505,0.89118084
0.08768093,1.35544308
1.16455614,0.75970029
1.35247034,0.79547632
0.71291546,1.46193408
2.08572440,1.28608002
0.57344549,0.67348861
0.40570273,0.86400182
2.43410248,0.80450459
0.26008731,0.96483706
1.58253962,1.10401982
0.86079834,1.62904761
0.57662731,0.72507547
0.71496809,0.48186552
0.91662024,1.61411086
0.83802935,0.73068280
1.43093752,0.78725587
0.73333194,0.84919830
2.11220499,1.28758384
1.22654097,1.36044904
0.26261788,1.25164095
0.89312784,0.18029038
1.78731115,1.37557642
0.07297088,0.33541309
1.54852487,1.65928528
0.72931404,0.82080526
0.92099723,1.11161323
1.41136459,1.15459226
0.86614160,0.94423360
0.48350266,0.85794747
0.75238743,1.09594486
0.64394232,0.78095238
0.63591214,0.46680424
1.07549594,2.08070479
0.70975588,0.88617669
1.62339373,0.75693004
1.08745148,0.83967770
0.98112923,0.96345687
0.42457622,1.24315067
1.24287300,0.53819891
0.90163663,1.41093638
0.82254717,0.95233965
1.57371286,1.11498160
1.11206491,1.46004594
0.97009446,0.28089147
0.06113513,0.72772133
2.19355358,1.20074755
0.55659735,1.03670014
0.28809935,1.51239492
1.88418979,0.85300642
0.62788406,0.87634165
0.60334320,0.71022214
0.12726093,1.40585730
2.38560796,0.69272813
0.53447115,0.94338741
1.11492172,0.79586836
0.82030840,2.00425133
1.99997458,0.42711877
0.34497833,0.99780886
1.27234072,1.03984299
0.71843783,0.58608468
0.30906092,0.97099536
0.43794392,1.55077165
2.03796690,0.95231152
1.13466278,0.82324388
1.71933079,1.13974251
0.11122028,1.05834964
0.67491282,0.82311282
2.42396981,0.81512349
0.39507900,0.79475365
2.09891969,1.37441924
1.52549031,1.41944483
0.70976535,0.97187759
0.25182857,0.59230664
1.80765375,0.65085977
1.29622129,1.38817791
0.54988457,1.07495794
1.14589415,0.53026815
0.65429597,1.82739745
0.56314755,0.37050945
1.46446733,1.56469924
0.87862703,0.63789187
0.97270693,1.07306589
0.13076776,0.54754298
2.11864544,0.91200845
0.92795287,1.82995874
0.77989223,0.97334339
0.90540758,0.55956834
0.91826089,1.13087906
1.00922433,1.01133266
0.95457476,0.69576276
0.24076801,1.43156019
1.22534070,0.44637524
0.60705431,1.32289889
0.55156861,1.59331258
0.72924399,0.58243249
1.72329039,0.90439268
0.98283627,0.76654095
1.11719978,0.92294584
1.58483607,1.13356688
1.09165355,1.31038350
1.26807629,1.14490003
0.68588633,0.78578578
0.50193596,0.66977179
0.31178578,1.59680408
2.71378372,0.67300666
0.45574304,0.47262941
1.75770853,1.22811677
1.65793598,1.59137280
0.31720141,0.90628655
0.28567206,1.00834769
1.36047927,0.86147376
0.48433833,0.44356308
0.86192008,1.39034005
0.55792978,0.95016978
1.01422585,1.34082122
1.23567101,0.63663228
1.26432922,1.37875509
1.40756706,0.98622158
1.34276623,0.77169472
0.42499508,0.81810835
0.73644484,1.18026797
1.12983524,0.39427772
1.08962725,2.16162144
0.52645898,0.79353054
1.26364176,0.51149852
0.76063673,1.09600689
0.96657465,0.94245696
0.32505859,1.20327761
1.43955180,0.60006069
0.74046250,1.22599970
0.91218453,1.26090117
2.17447855,0.92395232
0.43119885,1.26784730
1.87991110,0.61443703
1.11292494,0.92296151
0.54333633,0.44542515
1.18138644,1.81852052
1.98649513,0.86646113
0.94562441,1.34936003
0.68177617,0.55992720
0.84191086,0.98317193
0.69370492,1.06819430
1.20324926,1.10970242
0.79743664,0.60043030
1.33720001,0.94544545
0.25292035,1.57717725
1.69095371,1.33988405
0.28492490,0.43361988
0.86934152,0.76059718
1.03957611,1.27112108
0.99904995,0.58374346
2.09452265,1.24403052
0.64341126,1.50104383
0.10330484,0.66515305
1.23303874,0.83036432
1.11520996,1.57226131
0.23700920,0.47326002
2.18482026,1.00785743
0.38223970,0.73461770
0.82722091,1.05714679
0.84238609,1.73337057
0.95560080,0.70219231
1.01528012,1.15568233
1.18405913,0.57533955
2.25269757,0.73552494
0.14389847,1.50446016
0.55966489,0.82122379
